l2C	N4C	N8C	N16C	eB	category
Tfe3	0.34465844402277	0.4	0.268181818181818	0.153846153846154	0.181818181818182	Early
Gripap1	0.0800442233278053	0.545	0.208689458689459	0	0.375	Early
Lamp2	0.318800816042196	0.588755294884327	0.200694444444445	0.130384615384615	0.206349206349206	Early
Cul4b	0.258918977004083	0.491320770732535	0.5	0.176209297948428	0.299578754578755	Early
Xiap	0.395382395382395	0.478437764930623	0.461421277997365	0.389913737832955	0.299920574083683	Early
Mmgt1	0.100507636004593	0.785714285714286	0.360001273236567	0.382352941176471	0.325081168831169	Early
Hcfc1	0.386214041304707	0.36043018505167	0.292764622546043	0.285320612542538	0.213247139124424	Early
Flna	1	0.758787878787879	0.41890289449113	0.00666666666666666	0.0750809314624181	Early
Zfx	0.6	0.444444444444444	0	0.166666666666666	0.111111111111111	Early
Las1l	0.398689273689273	0.394383394383394	0.250925925925926	0.204013136288999	0.0575757575757575	Early
Med12	0.528691808973499	0.37280701754386	0.422619047619048	0.333333333333333	0.0287081339712919	Early
Zmym3	0.522727272727273	0.7	0.371266339869281	0.379310344827586	0	Early
Nono	0.165391419725785	0.48215811965812	0.294493774000275	0.218981530906374	0.177652021030723	Early
Rps4x	0.111111111111111	0.627777777777778	0.292694716775599	0.20868833163764	0.168821488076807	Early
Cited1	0.294117647058824	0.671817629896959	0.267230212468859	0.167254338175948	0.360099595393713	Early
Abcb7	NA	0.541025641025641	0.275677866195108	0.16213768115942	0.145574989526603	Early
Magt1	0.34889846743295	0.709096459096459	0.472587719298246	0.031578947368421	0.00714285714285714	Early
Atp7a	0.245319081909445	0.716780126748398	0.0773809523809525	0.333333333333333	0.0416666666666667	Early
Prps1	0.36087678575536	0.4273419351018	0.446656896417018	0.269600428594288	0.191654351789321	Early
Gnl3l	0.380952380952381	0.316759009683538	0.387228047469502	0	0.0259109311740891	Early
Tsr2	0.4	0.625	0.29985957579424	0.222417582417582	0.316498316498316	Early
Wnk3	0.549900629537726	0.449959114959115	0.289651527809422	0.379222321373351	0.294047619047619	Early
Ubqln2	0.5	0.444444444444444	0	0.0462962962962963	0.02	Early
Pdha1	0.205128205128205	0.469524959742351	0.355924894717074	0.217780610115573	0.163541114058355	Early
Rbbp7	0.6	0.588235294117647	0.243055555555555	0.0625	0.375	Early
Slc35a2	0.3125	0.625	1	0.272727272727273	0.215909090909091	Mid
Hdac6	0.385190440181311	0.247591748026511	0.67845305832148	0.25	0.148809523809524	Mid
Cdk16	0.185420597117709	0.28645147123408	0.680249277614631	0.144729344729345	0.214525058275058	Mid
Rbmx	0.859757236227824	0.593170475439979	0.704761904761905	0	0	Mid
