Genes	rep_10	rep_12	rep_13	rep_15	rep_19	rep_20	rep_21	Ave_ratio	Category	SampleSize	Category_Nbr	Dot_color
Clcn5	0.01	0	0	0.03183	0.05357	0.00602	0.09091	0.027475714	Constitutive	8	4	black
Mospd1	0.07003	0.14286	0.022222	0.019417	0.82558	0	0.11864	0.171249857	Constitutive	8	4	black
Atp11c	0	NA	NA	NA	0.534883721	0	NA	0.178294574	Constitutive	3	4	black
Irak1	0	NA	NA	NA	NA	0.125	0	0.041666667	Constitutive	3	4	black
Gk	NA	NA	NA	NA	NA	NA	0.003937008	0.003937008	Constitutive	1	4	black
Pola1	NA	NA	NA	NA	NA	NA	NA	NA	Constitutive	0	4	black
Rlim	0.142857143	0.166666667	0.264957265	0.078947368	0.544585987	0	0.78440367	0.283202586	Constitutive	8	4	black
Atrx	0.073170732	0.019911504	0.009276438	0.021459227	0.353903346	0.022573363	0.026869159	0.07530911	Constitutive	8	4	black
Brwd3	0.972477064	0	0.487804878	0.05233853	0.580756014	0.062893082	0.119521912	0.325113069	Constitutive	7	4	black
Amot	NA	0.025423729	0.933333333	NA	0.970873786	0	0.96875	0.57967617	Constitutive	5	4	black
Zrsr2	0	NA	NA	NA	0.363636364	NA	NA	0.181818182	Constitutive	2	4	black
Usp9x	0.014184397	0.007428041	0.738963532	0.780851064	0.097421203	0.01285347	0.001776199	0.236211129	Constitutive	8	4	black
Ddx3x	0	0	NA	0	NA	NA	NA	0	Constitutive	3	4	black
Rbmx2	NA	0.6	NA	NA	NA	0.333333333	NA	0.466666667	Constitutive	2	4	black
Hprt	0	0.571428571	0.010309278	0.064516129	0	0.013468013	0.307692308	0.138202043	Constitutive	7	4	black
Htatsf1	0.416058394	0	NA	0	NA	NA	0.0625	0.119639599	Constitutive	4	4	black
Fmr1	NA	NA	NA	NA	NA	NA	NA	NA	Constitutive	0	4	black
Brcc3	NA	NA	NA	NA	NA	NA	0	0	Constitutive	1	4	black
Vbp1	1	NA	NA	0	NA	0	0.200389105	0.300097276	Constitutive	4	4	black
Tab3	NA	NA	0.370165746	0.329588015	0	0	0	0.139950752	Constitutive	6	4	black
AU015836	0	NA	0	0.076923077	NA	0.029850746	0	0.021354765	Constitutive	6	4	black
Kif4	0.041322314	0.287292818	0.875	0.410526316	0.884892086	0.064837905	0.016666667	0.368648301	Constitutive	8	4	black
Gprasp1	0.95	NA	0	0.95	NA	NA	0.869565217	0.692391304	Constitutive	4	4	black
Alg13	0.00729927	NA	NA	0	0	0	0	0.001459854	Constitutive	6	4	black
Lamp2	NA	0.538461538	NA	1	NA	NA	NA	0.769230769	Early	2	1	black
Cul4b	0.230769231	0	0	0.645833333	NA	NA	NA	0.219150641	Early	4	1	black
Mmgt1	NA	NA	NA	0.976501305	0	0.013333333	NA	0.32994488	Early	3	1	black
Hcfc1	0.375	0.671717172	0.8	0.617647059	0.46	0.696969697	0.516025641	0.591051367	Early	7	1	black
Flna	NA	0.98630137	0.7	NA	0.857142857	NA	0.933333333	0.86919439	Early	4	1	black
Zfx	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Las1l	1	NA	NA	NA	0.857142857	NA	NA	0.928571429	Early	2	1	black
Zmym3	NA	0	0	NA	0.340909091		0.958333333	0.324810606	Early	4	1	black
Rps4x	NA	NA	0.983240223	NA	NA	NA	0	0.491620112	Early	2	1	black
Cited1	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Abcb7	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Magt1	NA	NA	0.03030303	NA	0.285714286	NA	0	0.105339105	Early	3	1	black
Gnl3l	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Tsr2	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Pdha1	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
