Gene				Gene			Proper_Name	Chromo	BPKM (polyA-)	BPKM (polyA+)	FoldChange	WaldStat	GeneDescription		
uc001vxa.1	NR_002312			RPPH1	NR_002312		Rpph1	chr14	146526.8	8.4	17375.4	570.8	"Homo sapiens ribonuclease P RNA component H1 (RPPH1), non-coding RNA."		
uc003nft.1	NM_003513	Q96QV6	H2A1A_HUMAN	HIST1H2AB	NM_003513	NP_003504	Hist1h2ab	chr6	634.1	0.2	3366.0	43.3	"histone cluster 1, H2ab"		
uc003nfv.2	NM_003531	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3C	NM_003531	NP_003522	Hist1h3c	chr6	1414.1	0.5	3106.4	63.3	"histone cluster 1, H3c"		
uc003nhg.1	NM_021018	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3F	NM_021018	NP_066298	Hist1h3f	chr6	1474.9	0.5	2688.7	65.3	"histone cluster 1, H3f"		
uc003nfp.1	NM_003529	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3A	NM_003529	NP_003520	Hist1h3a	chr6	322.6	0.1	2667.6	30.6	"histone cluster 1, H3a"		
uc003njx.2	NM_005322	P16401	H15_HUMAN	HIST1H1B	NM_005322	NP_005313	Hist1h1b	chr6	145.2	0.1	1911.9	26.6	"histone cluster 1, H1b"		
uc003nfs.1	NM_003537	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3B	NM_003537	NP_003528	Hist1h3b	chr6	2269.3	1.3	1700.6	81.5	"histone cluster 1, H3b"		
uc001ete.2	NM_175065	Q8IUE6	H2A2B_HUMAN	HIST2H2AB	NM_175065	NP_778235	Hist2h2ab	chr1	562.0	0.3	1677.3	39.4	"histone cluster 2, H2ab"		
uc003nfr.2	NM_003544	B2R4R0	B2R4R0_HUMAN	HIST1H4B	NM_003544	NP_003535	Hist1h4b	chr6	2427.3	1.7	1442.3	73.2	"histone cluster 1, H4b"		
uc003ngl.2	NM_003526	Q6DRA6	H2B2D_HUMAN	HIST1H2BC	NM_003526	NP_003517	Hist1h2bc	chr6	575.6	0.5	1070.5	65.1	"histone cluster 1, H2bc"		
uc003niz.2	NM_080596	Q96QV6	H2A1A_HUMAN	HIST1H2AH	NM_080596	NP_542163	Hist1h2ah	chr6	997.2	1.0	1026.9	52.0	"histone cluster 1, H2ah"		
uc003ffr.1	NR_001566			TERC	NR_001566		Terc	chr3	796.3	0.8	1003.6	47.1	Homo sapiens cDNA clone IMAGE	40002477	
uc003ngx.2	NM_003522	Q6DRA6	H2B2D_HUMAN	HIST1H2BF	NM_003522	NP_003513	Hist1h2bf	chr6	640.0	0.7	983.5	41.2	"histone cluster 1, H2bf"		
uc001etd.2	NM_003517	Q96QV6	H2A1A_HUMAN	HIST2H2AC	NM_003517	NP_003508	Hist2h2ac	chr1	669.1	0.7	932.8	42.5	"histone cluster 2, H2ac"		
uc003khz.2	NR_003139			SCARNA18	NR_003139		Scarna18	chr5	29.3	0.0	879.1	4.9	"Homo sapiens small Cajal body-specific RNA 18 (SCARNA18), non-coding RNA."		
uc003njl.2	NM_003519	Q6DRA6	H2B2D_HUMAN	HIST1H2BL	NM_003519	NP_003510	Hist1h2bl	chr6	226.1	0.3	853.0	25.1	"histone cluster 1, H2bl"		
uc001dwo.1	NR_003023			SCARNA2	NR_003023		Scarna2	chr1	2908.1	3.9	739.0	86.9	"Homo sapiens cDNA clone IMAGE:6602628, partial cds."		
uc009vtj.1	NR_004407			RNU11	NR_004407		Rnu11	chr1	497.9	0.7	722.3	20.4	"Homo sapiens RNA, U11 small nuclear (RNU11), non-coding RNA."		
uc003ngi.2	NM_003542	B2R4R0	B2R4R0_HUMAN	HIST1H4C	NM_003542	NP_003533	Hist1h4c	chr6	1334.1	1.9	701.6	56.6	"histone cluster 1, H4c"		
uc003ngv.2	NM_003530	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3D	NM_003530	NP_003521	Hist1h3d	chr6	1678.6	2.6	643.2	94.7	"histone cluster 1, H3d"		
uc003njw.2	NM_003511	Q96QV6	H2A1A_HUMAN	HIST1H2AL	NM_003511	NP_003502	Hist1h2al	chr6	122.6	0.2	640.0	18.8	"histone cluster 1, H2al"		
uc003ngw.2	NM_021065	Q96QV6	H2A1A_HUMAN	HIST1H2AD	NM_021065	NP_066409	Hist1h2ad	chr6	1119.6	1.9	579.6	56.3	"histone cluster 1, H2ad"		
uc001ndk.2	NR_003056			SNORD67	NR_003056		Snord67	chr11	62.3	0.1	553.2	6.5	"Homo sapiens small nucleolar RNA, C/D box 67 (SNORD67), non-coding RNA."		
uc001ujo.2	NR_002979			SNORA49	NR_002979		Snora49	chr12	70.0	0.1	529.7	7.7	"Homo sapiens small nucleolar RNA, H/ACA box 49 (SNORA49), non-coding RNA."		
uc003nhi.2	NM_003534	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3G	NM_003534	NP_003525	Hist1h3g	chr6	1747.7	3.6	492.3	70.9	"H3 histone family, member H"		
uc003niw.2	NM_021064	Q96QV6	H2A1A_HUMAN	HIST1H2AG	NM_021064	NP_066408	Hist1h2ag	chr6	1754.5	3.7	480.5	73.4	"histone cluster 1, H2ag"		
uc003njm.2	NM_003536	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3H	NM_003536	NP_003527	Hist1h3h	chr6	555.2	1.2	475.6	89.5	"histone cluster 1, H3h"		
uc003njn.1	NM_021066	Q96QV6	H2A1A_HUMAN	HIST1H2AJ	NM_021066	NP_066544	Hist1h2aj	chr6	237.0	0.5	458.6	25.3	"histone cluster 1, H2aj"		
uc003ngu.2	NM_003539	B2R4R0	B2R4R0_HUMAN	HIST1H4D	NM_003539	NP_003530	Hist1h4d	chr6	378.3	0.9	432.3	29.2	"histone cluster 1, H4d"		
uc003nhk.2	NM_003525	Q6DRA6	H2B2D_HUMAN	HIST1H2BI	NM_003525	NP_003516	Hist1h2bi	chr6	157.2	0.4	359.9	20.5	"histone cluster 1, H2bi"		
uc003zxh.1	NR_003051			RMRP	NR_003051		Rmrp	chr9	17713.1	53.2	332.7	170.4	"Homo sapiens RNA component of mitochondrial RNA processing endoribonuclease (RMRP), non-coding RNA."		
uc002vue.1	NR_003008			SCARNA5	NR_003008		Scarna5	chr2	33.7	0.1	312.5	7.6	"Homo sapiens small Cajal body-specific RNA 5 (SCARNA5), non-coding RNA."		
uc003ngq.2	NM_005321	A3R0T8	A3R0T8_HUMAN	HIST1H1E	NM_005321	NP_005312	Hist1h1e	chr6	254.9	0.8	301.2	35.1	"histone cluster 1, H1e"		
uc003ldv.1	NR_002915			SNORA74A	NR_002915		Snora74a	chr5	233.2	0.8	284.8	16.9	"Homo sapiens small nucleolar RNA, H/ACA box 74A (SNORA74A), non-coding RNA."		
uc003nfq.2	NM_003538	B2R4R0	B2R4R0_HUMAN	HIST1H4A	NM_003538	NP_003529	Hist1h4a	chr6	1292.5	4.8	267.0	54.3	"histone cluster 1, H4a"		
uc003nkb.1	NM_003514	Q96QV6	H2A1A_HUMAN	HIST1H2AM	NM_003514	NP_003505	Hist1h2am	chr6	596.6	2.3	263.8	42.3	"histone cluster 1, H2am"		
uc003nhm.2	NM_003543	B2R4R0	B2R4R0_HUMAN	HIST1H4H	NM_003543	NP_003534	Hist1h4h	chr6	826.9	3.1	263.5	72.5	"histone cluster 1, H4h"		
uc001mhp.1	NR_002962			SNORA23	NR_002962		Snora23	chr11	262.9	1.1	241.1	17.5	"Homo sapiens small nucleolar RNA, H/ACA box 23 (SNORA23), non-coding RNA."		
uc001rsa.1	NR_002968			SNORA34	NR_002968		Snora34	chr12	163.1	0.7	237.1	11.7	"Homo sapiens small nucleolar RNA, H/ACA box 34 (SNORA34), non-coding RNA."		
uc003udz.1	NR_002955			SNORA14A	NR_002955		Snora14a	chr7	8.4	0.0	235.7	2.6	"Homo sapiens small nucleolar RNA, H/ACA box 14A (SNORA14A), non-coding RNA."		
uc001wau.1	NR_002916			SNORD8	NR_002916		Snord8	chr14	69.6	0.3	226.1	6.8	"Homo sapiens small nucleolar RNA, C/D box 8 (SNORD8), non-coding RNA."		
uc003njs.2	NM_003510	Q96QV6	H2A1A_HUMAN	HIST1H2AK	NM_003510	NP_003501	Hist1h2ak	chr6	406.5	1.9	212.2	33.8	"histone cluster 1, H2ak"		
uc003njo.2	NM_003521	B4DR52	B4DR52_HUMAN	HIST1H2BM	NM_003521	NP_003512	Hist1h2bm	chr6	83.5	0.4	206.8	15.1	"histone cluster 1, H2bm"		
uc003njv.2	NM_003520	Q6DRA6	H2B2D_HUMAN	HIST1H2BN	NM_003520	NP_003511	Hist1h2bn	chr6	413.4	2.1	198.0	43.6	"histone cluster 1, H2bn"		
uc003mce.1	NR_002988			SNORA74B	NR_002988		Snora74b	chr5	38.4	0.2	192.4	6.9	"Homo sapiens small nucleolar RNA, H/ACA box 74B (SNORA74B), non-coding RNA."		
uc009zeo.1	NR_004387			SCARNA10	NR_004387		Scarna10	chr12	186.5	1.0	189.3	19.4	"Homo sapiens small Cajal body-specific RNA 10 (SCARNA10), non-coding RNA."		
uc003nkc.1	NM_003527	Q6DRA6	H2B2D_HUMAN	HIST1H2BO	NM_003527	NP_003518	Hist1h2bo	chr6	1239.5	6.6	189.2	59.6	"histone cluster 1, H2bo"		
uc001owl.1	NR_000025			SNORD15B	NR_000025		Snord15b	chr11	912.3	4.9	186.9	28.6	"Homo sapiens small nucleolar RNA, C/D box 15B (SNORD15B), non-coding RNA."		
uc002lfi.1	NR_002970			SNORA37	NR_002970		Snora37	chr18	51.3	0.3	182.1	6.4	"Homo sapiens small nucleolar RNA, H/ACA box 37 (SNORA37), non-coding RNA."		
uc010pbl.1	NM_001123375	Q6TXQ4	Q6TXQ4_HUMAN	HIST2H3D	NM_001123375	NP_001116847	Hist2h3d	chr1	26.9	0.2	179.0	8.2	"histone cluster 2, H3d"		
uc002xio.1	NR_003018			SNORA71D	NR_003018		Snora71d	chr20	100.7	0.6	176.7	9.2	"Homo sapiens small nucleolar RNA, H/ACA box 71D (SNORA71D), non-coding RNA."		
