Gene				Gene			Proper_Name	Chromo	BPKM (polyA-)	BPKM (polyA+)	FoldChange	WaldStat	GeneDescription		
uc001vxa.1	NR_002312			RPPH1	NR_002312		Rpph1	chr14	116732.1	4.5	26107.4	455.0	"Homo sapiens ribonuclease P RNA component H1 (RPPH1), non-coding RNA."		
uc003zxh.1	NR_003051			RMRP	NR_003051		Rmrp	chr9	29740.0	27.9	1064.2	199.0	"Homo sapiens RNA component of mitochondrial RNA processing endoribonuclease (RMRP), non-coding RNA."		
uc001dwo.1	NR_003023			SCARNA2	NR_003023		Scarna2	chr1	5132.9	3.2	1596.4	103.8	"Homo sapiens cDNA clone IMAGE:6602628, partial cds."		
uc003ngv.2	NM_003530	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3D	NM_003530	NP_003521	Hist1h3d	chr6	2137.2	0.8	2822.6	96.0	"histone cluster 1, H3d"		
uc003nhe.1	NM_003540	B2R4R0	B2R4R0_HUMAN	HIST1H4F	NM_003540	NP_003531	Hist1h4f	chr6	4298.8	1.4	3026.3	88.9	"histone cluster 1, H4f"		
uc003njm.2	NM_003536	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3H	NM_003536	NP_003527	Hist1h3h	chr6	650.6	0.7	891.0	87.1	"histone cluster 1, H3h"		
uc003nfs.1	NM_003537	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3B	NM_003537	NP_003528	Hist1h3b	chr6	3206.8	0.3	9687.4	87.0	"histone cluster 1, H3b"		
uc003ngu.2	NM_003539	B2R4R0	B2R4R0_HUMAN	HIST1H4D	NM_003539	NP_003530	Hist1h4d	chr6	4005.1	0.2	26288.7	85.6	"histone cluster 1, H4d"		
uc003nhm.2	NM_003543	B2R4R0	B2R4R0_HUMAN	HIST1H4H	NM_003543	NP_003534	Hist1h4h	chr6	1410.9	4.1	341.7	85.1	"histone cluster 1, H4h"		
uc003njx.2	NM_005322	P16401	H15_HUMAN	HIST1H1B	NM_005322	NP_005313	Hist1h1b	chr6	1669.1	0.3	6046.2	81.1	"histone cluster 1, H1b"		
uc003nhc.3	NM_003532	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3E	NM_003532	NP_003523	Hist1h3e	chr6	790.0	0.4	2185.9	78.6	"histone cluster 1, H3e"		
uc003ngm.2	NM_003512	B2R4F7	B2R4F7_HUMAN	HIST1H2AC	NM_003512	NP_003503	Hist1h2ac	chr6	717.9	1.5	466.7	77.9	"histone cluster 1, H2ac"		
uc003niz.2	NM_080596	Q96QV6	H2A1A_HUMAN	HIST1H2AH	NM_080596	NP_542163	Hist1h2ah	chr6	2744.5	0.2	12542.9	77.5	"histone cluster 1, H2ah"		
